Month,Year,Return,,,,,
2,1871,-0.0115,,,,,
3,1871,0.0144,,,,,
4,1871,0.0733,,,,,
5,1871,0.0518,,,,,
6,1871,0.0122,,,,,
7,1871,-0.0138,,,,,
8,1871,0.0311,,,,,
9,1871,-0.0091,,,,,
10,1871,-0.0618,,,,,
11,1871,0.0153,,,,,
12,1871,0.0054,,,,,
1,1872,0.0282,,,,,
2,1872,0.0097,,,,,
3,1872,0.0197,,,,,
4,1872,0.0116,,,,,
5,1872,0.0043,,,,,
6,1872,0.0019,,,,,
7,1872,0.0118,,,,,
8,1872,-0.0146,,,,,
9,1872,-0.0169,,,,,
10,1872,0.0303,,,,,
11,1872,-0.0265,,,,,
12,1872,0.0428,,,,,
1,1873,0.0122,,,,,
2,1873,-0.0073,,,,,
3,1873,-0.0044,,,,,
4,1873,-0.0091,,,,,
5,1873,0.0303,,,,,
6,1873,0.0234,,,,,
7,1873,0.0033,,,,,
8,1873,0.0058,,,,,
9,1873,-0.0717,,,,,
10,1873,-0.0589,,,,,
11,1873,0.0014,,,,,
12,1873,0.0757,,,,,
1,1874,0.0416,,,,,
2,1874,0.0336,,,,,
3,1874,-0.0087,,,,,
4,1874,-0.0093,,,,,
5,1874,-0.0113,,,,,
6,1874,0.0242,,,,,
7,1874,-0.0025,,,,,
8,1874,0.0164,,,,,
9,1874,0.0223,,,,,
10,1874,0.0192,,,,,
11,1874,0.0193,,,,,
12,1874,0.0028,,,,,
1,1875,0.0059,,,,,
2,1875,0.0032,,,,,
3,1875,0.0169,,,,,
4,1875,0.0107,,,,,
5,1875,-0.0078,,,,,
6,1875,0.0001,,,,,
7,1875,0.0081,,,,,
8,1875,0.0023,,,,,
9,1875,0.0024,,,,,
10,1875,-0.0090,,,,,
11,1875,0.0285,,,,,
12,1875,0.0142,,,,,
1,1876,0.0377,,,,,
2,1876,0.0197,,,,,
3,1876,0.0026,,,,,
4,1876,-0.0250,,,,,
5,1876,0.0034,,,,,
6,1876,0.0279,,,,,
7,1876,-0.0067,,,,,
8,1876,-0.0461,,,,,
9,1876,-0.0633,,,,,
10,1876,-0.0193,,,,,
11,1876,-0.0202,,,,,
12,1876,-0.0187,,,,,
1,1877,-0.0192,,,,,
2,1877,-0.0289,,,,,
3,1877,-0.0021,,,,,
4,1877,-0.0905,,,,,
5,1877,-0.0123,,,,,
6,1877,-0.0134,,,,,
7,1877,0.0367,,,,,
8,1877,0.1162,,,,,
9,1877,0.0759,,,,,
10,1877,0.0270,,,,,
11,1877,0.0086,,,,,
12,1877,0.0001,,,,,
1,1878,0.0352,,,,,
2,1878,-0.0047,,,,,
3,1878,0.0416,,,,,
4,1878,0.0461,,,,,
5,1878,0.0414,,,,,
6,1878,0.0493,,,,,
7,1878,0.0103,,,,,
8,1878,-0.0182,,,,,
9,1878,0.0256,,,,,
10,1878,0.0044,,,,,
11,1878,0.0119,,,,,
12,1878,0.0201,,,,,
1,1879,0.0320,,,,,
2,1879,0.0269,,,,,
3,1879,0.0018,,,,,
4,1879,0.0466,,,,,
5,1879,0.0502,,,,,
6,1879,0.0252,,,,,
7,1879,0.0076,,,,,
8,1879,0.0130,,,,,
9,1879,0.0053,,,,,
10,1879,0.0534,,,,,
11,1879,0.0032,,,,,
12,1879,-0.0284,,,,,
1,1880,0.0117,,,,,
2,1880,0.0230,,,,,
3,1880,0.0105,,,,,
4,1880,0.0208,,,,,
5,1880,-0.0475,,,,,
6,1880,0.0276,,,,,
7,1880,0.0511,,,,,
8,1880,0.0414,,,,,
9,1880,-0.0086,,,,,
10,1880,0.0328,,,,,
11,1880,0.0470,,,,,
12,1880,0.0332,,,,,
1,1881,0.0740,,,,,
2,1881,-0.0105,,,,,
3,1881,0.0155,,,,,
4,1881,-0.0085,,,,,
5,1881,0.0578,,,,,
6,1881,0.0149,,,,,
7,1881,-0.0402,,,,,
8,1881,-0.0390,,,,,
9,1881,-0.0261,,,,,
10,1881,-0.0214,,,,,
11,1881,0.0192,,,,,
12,1881,-0.0240,,,,,
1,1882,-0.0125,,,,,
2,1882,-0.0260,,,,,
3,1882,0.0021,,,,,
4,1882,-0.0052,,,,,
5,1882,-0.0177,,,,,
6,1882,-0.0091,,,,,
7,1882,0.0711,,,,,
8,1882,0.0239,,,,,
9,1882,0.0424,,,,,
10,1882,-0.0126,,,,,
11,1882,-0.0296,,,,,
12,1882,0.0184,,,,,
1,1883,0.0003,,,,,
2,1883,-0.0282,,,,,
3,1883,0.0275,,,,,
4,1883,0.0361,,,,,
5,1883,-0.0049,,,,,
6,1883,0.0459,,,,,
7,1883,0.0078,,,,,
8,1883,-0.0408,,,,,
9,1883,0.0269,,,,,
10,1883,-0.0220,,,,,
11,1883,0.0297,,,,,
12,1883,-0.0257,,,,,
1,1884,-0.0253,,,,,
2,1884,0.0314,,,,,
3,1884,0.0003,,,,,
4,1884,-0.0146,,,,,
5,1884,-0.0607,,,,,
6,1884,-0.0343,,,,,
